sample;best_in_5to15;2nd_best_in_5to15
MYCN_EGFP_lat_1_nrblstm;12;6
MYCN_lat_1_nrblstm;8;12
MYCN_lat_2_nrblstm;8;12
MYCN_lat_m2_1_nrblstm;10;5
MYCN_lat_m2_2_nrblstm;12;14
MYCN_lat_m3_1_nrblstm;9;7
MYCN_lat_m3_2_1_nrblstm;11;6
MYCN_lat_m3_3_nrblstm;9;14
MYCN_lat_m3_4_nrblstm;8;5
MYCN_lat_m5_1_nrblstm;8;15
MYCN_lat_m5_2_nrblstm;10;8
MYCN_lat_m6_1_nrblstm;6;14
MYCN_lat_m7_1_nrblstm;10;7
MYCN_lat_m7_2_nrblstm;10;7
MYCN_lat_m8_3_nrblstm;9;12
MYCN_lat_m8_4_nrblstm;11;5
MYCN_lat_m9_1_nrblstm;8;5
MYCN_lat_m9_2_nrblstm;7;12
MYCN_lat_m9_3_nrblstm;11;14
MYCN_lat_m9_4_nrblstm;8;13
MYCN_LMO1_lat_1_1_nrblstm;9;7
MYCN_LMO1_lat_m3_1_nrblstm;10;12
MYCN_LMO1_lat_m3_2_nrblstm;13;10
MYCN_LMO1_lat_m4_1_nrblstm;10;8
MYCN_LMO1_lat_m6_2_1_nrblstm;10;15
MYCN_LMO1_lat_m7_1_1_nrblstm;11;5
MYCN_LMO1_lat_m7_2_nrblstm;11;13
MYCN_LMO1_lat_m7_4_nrblstm;7;15
MYCN_LMO1_lat_m8_2_1_nrblstm;11;10
MYCN_LMO1_lat_m9_3_nrblstm;9;13
MYCN_LMO1_mixed_m2_3_nrblstm;8;6
MYCN_LMO1_mixed_m7_1_nrblstm;8;5
MYCN_LMO1_vent_1_1_nrblstm;11;6
MYCN_LMO1_vent_3_3_nrblstm;11;9
MYCN_LMO1_vent_m1_1_nrblstm;14;5
MYCN_LMO1_vent_m2_1_nrblstm;11;6
MYCN_LMO1_vent_m2_2_nrblstm;7;5
MYCN_LMO1_vent_m3_1_nrblstm;7;6
MYCN_LMO1_vent_m3_2_nrblstm;8;10
MYCN_LMO1_vent_m4_1_nrblstm;8;6
MYCN_LMO1_vent_m5_1_nrblstm;9;14
MYCN_LMO1_vent_m5_2_nrblstm;10;11
MYCN_LMO1_vent_m6_1_nrblstm;7;5
MYCN_LMO1_vent_m6_2_1_nrblstm;10;7
MYCN_LMO1_vent_m7_1_1_nrblstm;9;12
MYCN_LMO1_vent_m7_2_nrblstm;11;6
MYCN_LMO1_vent_m7_3_1_nrblstm;8;5
MYCN_LMO1_vent_m8_1_nrblstm;13;5
MYCN_LMO1_vent_m8_2_1_nrblstm;10;7
MYCN_LMO1_vent_m9_1_nrblstm;10;5
MYCN_LMO1_vent_m9_2_nrblstm;8;15
MYCN_LMO1_vent_m9_4_nrblstm;9;5
MYCN_ventpost_m3_2_1_nrblstm;7;15
MYCN_lat_m17_4_1_nrblstm;10;7
MYCN_lat_m17_2_1_nrblstm;7;5
MYCN_lat_m17_3_nrblstm;11;12
MYCN_lat_m17_1_1_nrblstm;9;10
MYCN_LMO1_lat_m17_5_1_nrblstm;11;5
MYCN_LMO1_vent_m17_5_1_nrblstm;7;5